Antioxidant;Antioxidans
Mersey Ambulance Service;
Merv Cross;
Mesenteric cyst;
Mesenteric glands;
Mesoblastic nephroma;
Mesocortical pathway;
Mesomark assay;
Metabolic myopathy;
Metabolic risk score;
Metacestode;
Metachondromatosis;
Metam sodium;Metam-Natrium
Metamorphopsia;Metamorphopsie
Metaphyseal dysplasia;
Metaphysis;Metaphyse
Metaplastic carcinoma;
Metastatic calcification;
Metastatic urothelial carcinoma;
Metatarsalgia;Metatarsalgie
Metatarsophalangeal articulations;Zehengrundgelenk
Metathalamus;Metathalamus
Meteoropathy;Wetterfühligkeit
Metered dose transdermal spray;
Methylation specific oligonucleotide microarray;
Methylmalonyl-CoA mutase deficiency;
Methylphosphonyl difluoride;
Metrophlebitis;
Metropolitan Medical Strike Team;
Metzenbaum scissors;Chirurgische Schere
Mexsana;
Meyer Balter;
Michael Abramoff;
Michael Aronsky;
Michael B. Gorin;
Michael Chernew;
Michael Hutcheon;
Michael J. Wingfield;
Michael K. Morgan;
Michael Klaper;
Michael Lorin Reed;
Michel Kazatchkine;
Michels Caskey syndrome;
Michels syndrome;
Microangiography;
Microbial symbiosis and immunity;
Microcalcification;Mikrokalk
Microcephalic osteodysplastic primordial dwarfism type II;
Microcheilia;
Microcoria;
Microcurrent electrical neuromuscular stimulator;
Microextraction by packed sorbent;
Microgenia;
Micrographia (handwriting);Mikrographie (Medizin)
Microgyrus;
Microkeratome;
Microorchidism;
Microparasite;
Micropolygyria;
Microscopic Observation Drug Susceptibility assay;
Microspherophakia;
Microstaging;
Microstomia;
Microvascular occlusion;
Microwave thermotherapy;
Midbrain reticular formation;
Midbrain tegmentum;
Middle cervical ganglion;Ganglion cervicale medium
Middleburgh Emergency Volunteer Ambulance Corps;
Midline glossectomy;
Migraine (book);
Migraine Action Association;
Migraine Specific Quality of Life;
Migrating motor complex;Migrierender motorischer Komplex
Mike Besser;
Mikulicz's drain;
Milan criteria;Milan-Kriterien
Miliary fever;
Military Medicine (journal);
Military acute concussion evaluation;
Military brace;
Military nurse;
Milk-rejection sign;
Miller-Keane Encyclopedia & Dictionary of Medicine, Nursing, and Allied Health;
Milligram per cent;
Million-dollar wound;Heimatschuss
Milroy's disease;
Milwaukee shoulder syndrome;
Mindfulness relaxation;
Mini asymmetric radial keratotomy;
Minimal-access cranial suspension;
Minimal mesangial glomerulonephritis;
Minimally differentiated acute myeloblastic leukemia;
Minimisation (clinical trials);
Minimized extracorporeal circulation;
Minimum lethal dose;
Ministry of Health (Burma);
Ministry of Health (Turkmenistan);
Ministry of Health and Social Protection (Colombia);
Minor's disease;
Minor injuries unit;
Mir-3180 microRNA precursor family;
Mir-390 microRNA precursor family;
Mir-590 microRNA precursor family;
Mir-618 microRNA precursor family;
Mir-624 microRNA precursor family;
Mir-625 microRNA precursor family;
Mir-633 microRNA precursor family;
Mir-636 microRNA precursor family;
Mir-638 microRNA precursor family;
Mir-650 microRNA precursor family;
Mir-652 microRNA precursor family;
Mir-663 microRNA precursor family;
Mir-708 microRNA precursor family;
Mir-711 microRNA precursor family;
Mirhosseini–Holmes–Walton syndrome;
Mirror movement disorder;
Mission Doctors Association;
Mississippi Department of Mental Health;
Mitochondrial neurogastrointestinal encephalopathy syndrome;
Mitotoxin;
Mitral facies;
Mixed-cell lymphoma;
Mixed cerebral palsy;
Mixed gonadal dysgenesis;
Mixed transcortical aphasia;
Mnesitheus;Mnesitheos von Athen
Modified Maddrey's discriminant function;
Mohammad Amin Fatemi;
Mohr–Tranebjærg syndrome;
Mole map (dermatology);
Molecular anatomy;
Molecular and Cellular Endocrinology;
Molecular breast imaging;
Molecular neuroscience;
Molecular oncology;
Molecular risk assessment;
Moll's gland;
Mollipect;
Molluscophobia;
Molybdenum deficiency;
Monhysterida;
Monica Lin Brown;
Monitor (NHS);
Monitor unit;
Moniz sign;
Monoblast;
Monoclonal gammopathy;
Monocular estimate method;
Monocytopenia;
Monofixation syndrome;Mikrostrabismus
Monosomy 14;
Monosomy 9p;
Monotropism;
Monoxenous development;
Monticello Miracle;
Moonrise (Penny Wolfson book);
Moore's lightning streaks;
Morag Crichton Timbury;
Moran Eye Center;
Morbidity and mortality conference;
Morbilliform;
Morcellator;
Morel's ear;
Morgagni Stewart Morel syndrome;
Morinomiya University of Medical Sciences;
Morning report (medicine);
Mortimer's disease;
Moschion (physician);
Moses Montrose Pallen;
Moshe Arditi;
Moulage;Moulage
Mount Sinai Journal of Medicine;
Movat's stain;
Movement Disorders (journal);Movement Disorders
Mucicarmine stain;
Mucinous cystadenocarcinoma;
Mucinous cystadenoma;
Mucokinetics;Expektorans
Mucopolysaccharide–cartilage complex;
Mucopurulent discharge;
Mucotomy;Mukosektomie
Mucous retention cyst;
Mud bath;
Muehrcke's nails;
Muktar A. Gadanya;
Mulder's sign;
MultiPark;
Multicenter AIDS Cohort Study;
Multicenter Automatic Defibrillator Implantation Trial;
Multifocal intraocular lens;
Multifocal technique;
Multiple Sclerosis International Federation;Multiple Sklerosis Internationale Vereinigung
Multiple Sclerosis Research Institute;
Multiple Sclerosis Society of Canada;
Multiple abnormalities;
Multiple carboxylase deficiency;
Multiple inert gas elimination technique;
Multispectral segmentation;
Mumoli's sign;
Munro's microabscess;
Munson's sign;
Murad Alam;
Murat Başkurt;
Murat Günel;
Muscio;
Muscle Energy of the Ribs;
Muscle tissue neoplasm;
Muscular Dystrophy Campaign;
Muscular defense;Abwehrspannung
Musculoskeletal Tumor Surgery;
Musculoskeletal abnormality;
Mushaukwa Mukunyandela;
Music and Medicine;
Mustard bath;
Mutant protein;
My Mood Monitor Screen;
Myanmar Army Medical Corps;
Myanmar Medical Association;
Myelin incisure;
Myelodysplastic–myeloproliferative diseases;
Myeloid;Myeloisch
Myelokathexis;
Myeloma cast nephropathy;
Myelomonocyte;
Myeloperoxidase deficiency;
Myfreeimplants;
Myhre syndrome;
Myocardial Ischaemia National Audit Project;
Myocardial contusion;
Myocardial depressant factor;
Myocardial disarray;
Myocardial stunning;
Myoclonic dystonia;
Myocytolysis;
Myoepithelioma of the head and neck;
Myopathic gait;
Myosarcoma;
Myospherulosis;
Myringomycosis;
Myrmecia (skin);
Myxedema coma;Myxödemkoma
Myxobolidae;
Myxobolus;
Myxoid chondrosarcoma;
Myxoid cyst;
Myxoid liposarcoma;
Myxoid tumor;
Myxosarcoma;
Möbius sign;
Müller's sign;
Münci Kalayoğlu;
N-terminal telopeptide;
N. Rex Ghormley;
N1-3Hmethylnicotinamide;
NADH-Q;
NATO Committee on the Challenges of Modern Society;
NBRC-ACCS;
NBRC-NPS;
NBRC-SDS;
NCI Metathesaurus;
NHS England;
NHS Greater Glasgow and Clyde;
NHS Modernisation Agency;
NHS National Workforce Projects;
NHS North West;
NHS Prescription Services;
NHS ambulance services prior to 2006;
NHS care trust;
NLH Q&A Service;
NMC Health;
NO/ROS balance;
NOMESCO;
NOSH-aspirin;NOSH-Aspirin
NS1 antigen test;
NUT midline carcinoma;
NY State of Health;
Nakajo syndrome;
Nancy Oldfield Trust;
Nancy Siraisi;Nancy Siraisi
Nanoimpellers;
Nara Medical University;
Nardi test;
Nasolabial fold;Nasolabialfalte
Nasser Zahedi;Nasser Zahedi
Nathan Efron;
Nathan Smith (physician);
Nathan Smith Davis;
National Association for Ambulatory Urgent Care;
National Association for Public Health Policy;
National Biomedical Imaging Archive;
National Board of Medical Examiners;
National Board of Osteopathic Medical Examiners;
National Cancer Intelligence Network;
National Center for Regenerative Medicine;
National Centre for Emergency Primary Health Care;
National Children's Cancer Society;
National Cholesterol Education Program;National Cholesterol Education Program
National Coalition for Quality Diagnostic Imaging Services;
National Commission for the Protection of Human Subjects of Biomedical and Behavioral Research;
National Committee for Quality Assurance;
National Comorbidity Survey;
National Emerging Infectious Diseases Laboratories;
National Guideline Clearinghouse;
National Health Service Corps;
National Heart Forum;
National Heart Research Fund;
National Hospice and Palliative Care Organization;
National Institute for Research in Reproductive Health;
National Institute of Dental and Craniofacial Research;
National Institute of Medical Herbalists;
National Institute on Aging;
National Institutes of Health Director's Pioneer Award;
National Kidney Foundation;
National Matching Service;
National Mental Health Act;
National Minimum Dataset;
National Non-Smoking Week;
National Organ, Tissue and Cell Transplantation Policy in Malaysia;
National Organization for Organ and Tissues Donation and Transplantation (Lebanon);
National Patient Safety Agency;
National Physicians Alliance;
National Society for Colitis and Crohn's Disease;
National Society of Certified Healthcare Business Consultants;
National Survey of Sexual Attitudes and Lifestyles;
National Uniform Billing Committee;
National Vaccine Program Office;
National Wilms Tumor Study Group;
Natural Medicines Society;
Natural history group;
Natural history study;
Navajo AIDS Network;
Navy Medical Service Corps;United States Navy Medical Service Corps
Nawal M. Nour;
Nebraska Methodist Health System;
Necatoriasis;
Neck mass;
Neck spasm;
Necrospermia;
Nederlands Tijdschrift voor Geneeskunde;
Needle-localized biopsy;
Needle holder;Nadelhalter
Negative air ionization therapy;
Neil Roy;
Neisseria mucosa;
Nematode infection;
Nemosis;
Neoadjuvant therapy;
Neoechinorhynchida;
Neohemocyte;
Neointima;
Neonatal Resuscitation Program;
Neonatal adrenoleukodystrophy;
Nephrogenic adenoma;
Nephroscopy;
Nerve-sparing surgery;
Nerve fascicle;
Nerve induction;
Network theory of aging;
Neural binding;
Neuraxial blockade;
Neurite;Neurit
Neuro-ophthalmology;Neuroophthalmologie
Neuroblast;
Neuroblastoma Society;
Neurocardiology;
Neurocare;
Neurocristopathy;
Neurocytoma;Neurozytom
Neurodegeneration with brain iron accumulation;
Neuroectodermal tumor;
Neuroendocrine hyperplasia;
Neurohospitalist;
Neurolemma;
Neuroleptanalgesic anesthesia;
Neurology (journal);Neurology
Neurolysis;Neurolyse
Neuromere;
Neuromuscular diagnostic;
Neuromuscular medicine;
Neuromuscular monitoring;Relaxometrie
Neuropathology and Applied Neurobiology;Neuropathology and Applied Neurobiology
Neurophysiotherapy;
Neuropsychology Review;
Neuropsychotoxicology;
Neuroscience Letters;
Neurosecretion;
Neurosis and Human Growth;
Neurostimulator;
Neurotechnology Industry Organization;
Neurotomy;
Neurotoxic shellfish poisoning;
Neurotypical;Neurotypisch
Neurovax;
Neutral stimulus;
Neutralisation (immunology);
Neutralizing domain;
Nevada Health Link;
Nevada State Board of Medical Examiners;
Nevi and melanomas;
New Mexico Health Insurance Exchange;
New York Blood Center;
New York College of Podiatric Medicine;
New York County Medical Society;
New York virus;
New Zealand Dermatological Society;
New chemical entity;
New methylene blue;
Newcastle Gateshead Medical Volunteers;
Newfoundland and Labrador Medical Association;
Newport Beach Fire Department;
Nexvax2;
Ngoy Mushola;
Nicholas Kounis;
Nicholas Lydon;Nicholas B. Lydon
Nicholas P. Restifo;
Nicholas Romayne;
Nicomachus (father of Aristotle);
Nicotine lozenge;
Nicotine nasal spray;
Nicotrol;
Nigeria Society of Physiotherapy;
Nightingale ward;
Nikolaes Heinsius the Younger;Nikolaes Heinsius der Jüngere
Nil per os;
Nils Retterstøl;
Nissl body;Nissl-Schollen
Nitenpyram;
Nix Professional Building;
No-observed-adverse-effect level;NOAEL
No reflow phenomenon;
Nociceptive trigeminal inhibition tension suppression system;
Nocturnal clitoral tumescence;
Nodal marginal zone B cell lymphoma;
Nodular parenchyma;
Nodular regenerative hyperplasia;
Nodule of vermis;
Non-Langerhans cell histiocytosis;
Non-modulating essential hypertension;
Non-sideropenic hypochromic anaemia;
Non-specific interstitial pneumonia;
Non-verbal leakage;
Noninvasive glucose monitor;
Nonossifying fibroma;Nicht ossifizierendes Fibrom
Nonspecific immune cell;
Nonstress test;
Nonthrombocytopenic purpura;
Normal anion gap acidosis;
Normalization model;
Norman Gevitz;
Norman Spack;
Norman–Roberts syndrome;
Normative Aging Study;
Normocapnia;
North American Thrombosis Forum;
North Central Cancer Treatment Group;
North Staffordshire Combined Healthcare NHS Trust;
North Thames Regional Cleft Lip and Palate Service;
Northeast Kingdom Human Services;
Northern Health;
Northern Ireland Ambulance Service;
Northern Ireland Blood Transfusion Service;
Northfield Laboratories;
Northland Emergency Services Trust;
Northwest Biotherapeutics;
Norwegian Medical Association;
Norwegian Medical Society;
Norwich Medical School;
Nose prosthesis;
Nova Southeastern University College of Medical Sciences;
Novartis Foundation;
Novasone;
Novo Nordisk Foundation Center for Protein Research;
NuVasive;
Nuchal lines;
Nuclear atypia;
Nuclear bag fiber;
Nuclear gene;
Nuclear moulding;
Nucleosides, Nucleotides & Nucleic Acids;
Nucleotide salvage;Salvage-Pathway
Nucleotomy;
Nucleus (neuroanatomy);Nucleus (ZNS)
Nucleus pulposus;
Nugent score;
Nullisomic;
Numisianus;
Nurses Registration Act 1901;
Nursing Science Quarterly;
Nursing Times;
Nutrition and Cancer;
Nutrition physiology;Ernährungsphysiologie
Nutrition psychology;
Nutrition scale;
Nutritional anemia;
NxStage;
Nymphodorus (physician);
Nymphotomy;
O. Carl Simonton;O. Carl Simonton
OSLAM syndrome;
Ober's test;
Obesity in Bolivia;
Obesity in Brazil;
Obligate carrier;
Obliterating endarteritis;
Obstructive shock;
Obtundation;
Obturator membrane;
Occipitofrontal fasciculus;
Occlusive dressing;
Occupational Medicine (journal);
Ochsner Health System;
Ocular flutter;
Ocular larva migrans;
Ocular melanosis;Melanosis oculi
Ocular neurosis;
Oculocutaneous albinism type I;
Oculomucocutaneous syndrome;
Odom's indicator;
Odontogenic;
Odontogenic infection;Odontogene Infektion
Odontogenic tumor;
Odontoma dysphagia syndrome;
Office of Biorepositories and Biospecimen Research;
Office of Public Health and Science;
Ohngren's line;
Oil of amber;Bernsteinöl
Okinawa Centenarian Study;
Olaf B. Paulson;
Olcay Neyzi;
Olfactory tract;
Olfactory transduction;
Olfactory trigone;
Oliger Jacobaeus;
Oligoantigenic diet;
Oliver's sign;
Oliver Dorigo;
Olufunmilayo Olopade;
Oman Medical College;
Omegaven;
Omenn syndrome;
Omental cake;
Omentopexy;
Ommaya reservoir;Ommaya-Reservoir
On-call room;
Onchocerca;
Onchocercidae;
Oncocytoma;Onkozytom
Oncogene (journal);Oncogene
Oncogenic retroviridae protein;
Oncology Reports;
Oncothermia;
Oneiroid syndrome;Oneiroid-Syndrom
Oni Akerele;
Ontario Cancer Institute;
Ontario College of Family Physicians;
Ontario Medical Association;
Oocyte selection;
Open-label trial;
Open Prosthetics Project;
Open biopsy;
Operating microscope;Operationsmikroskop
Operation Coffee Cup;
Operational Research CONsultancy;
Operative report;
Ophthalmic Viscosurgical Device;
Ophthalmic medical practitioner;
Oppenheim's sign;Oppenheim-Reflex
Optic cup (embryology);
Optic nerve glioma;
Optic recess;
Optic stalk;
Optic vesicle;Augenbläschen
Optical tomography;
Optimal cutting temperature compound;
Optoelectronic plethysmography;
Optokinetic drum;
Optometric Extension Program;
Ora serrata;Ora serrata
Oral pontine reticular nucleus;
Oral torus;
Orbital prosthesis;
Orchialgia;
Orchid (charity);
Organ-limited amyloidosis;
Organ care system;
Organ dysfunction;
Organic feeding disorders;
Organization for Human Brain Mapping;
Organization for Understanding Cluster Headaches;
Organophosphate-induced delayed neuropathy;
Organum vasculosum of lamina terminalis;Organum vasculosum laminae terminalis
Orgasmalgia;
Orgasmic platform;
Orientation and mobility;Orientierungs- und Mobilitätstraining (O&M)
Ornithinaemia;
Orofacial pain;
Orthogonal polarization spectral imaging;
Orthopaedic physician's assistant;
Orthopaedic templating;
Ortner's syndrome;
Osborn wave;
Oskar Hirsch;
Oskar Lassar;Oskar Lassar
Oskar Simon;Oskar Simon
Osler's node;Osler-Knötchen
Osler's sign;
Osler's sign (pseudohypertension);
Osmolarity gradient;
Osmotic diuresis;
Osseoincorporation;
Ossification center;
Ossification of humerus;
Ossification of radius;
Ossifying fibromyxoid tumour;
Ostectomy;
Osteoarthritis Research Society International;
Osteochondritis;
Osteochondromatosis;
Osteochondropathy;
Osteochondroprogenitor cell;
Osteolipochondroma;
Osteometric points;
Osteopaths Registration Board;
Osteoplasty;
Osteoporosis circumscripta;
Osteoradionecrosis;
Osteosclerosis;Osteosklerose
Osteosynthesis;Osteosynthese
Oswald Berkhan;Oswald Berkhan
Otic pit;
Otitis interna;
Otobothriidae;
Otocephaly;
Otofacial syndrome;
Otolithic membrane;
Otology;
Otomycosis;
Ottawa knee rules;
Outer plexiform layer;
Ovarian disease;
Ovarian serous cystadenoma;
Ovariectomized rat;
Overactive disorder associated with mental retardation and stereotyped movements;
Overall Nutritional Quality Index;
Overbite;Überbiss
Overeating;Überernährung
Overgrowth syndrome;
Overjet;
Overriding aorta;Reitende Aorta
Ovid Technologies;Ovid Technologies
Owl's eye appearance;
Oxford Ophthalmological Congress;
Oxycephaly;
Oxycholesterol;
Oxygen enhancement ratio;
Oxygen equivalent;
Oxygen pulse;
Oxygenation index;
Oxygent;
Oxyphil cell (pathology);
Oxyuridae;
